Boulanger Lyon - Carré De Soie;Boulanger Lyon - Carré De Soie;Actif;2 rue Jacquard;CARRÉ DE SOIE;69120;Vaulx En Velin;45.764622411164005;4.92365018434748;Societe;392327607 ;39232760700306 ;Prospect;;;;;;F144;Ouvert
Boulanger Lyon - Les Cordeliers;Boulanger Lyon - Les Cordeliers;Actif;6 place des Cordeliers;;69002;Lyon;45.76343439872998;4.838091626983669;Societe;392327607 ;39232760700132 ;Prospect;;;;;;F145;Ouvert
Boulanger Annecy Seynod;Boulanger Annecy Seynod;Actif;Centre commercial Arcal'Oz;55 Boulevard Costa de Beauregard;74600;Annecy Seynod;45.87844628785321;6.097254514694214;Societe;392327607 ;39232760700298 ;Prospect;;;;;;F147;Ouvert
Boulanger Poitiers - Porte Sud;Boulanger Poitiers - Porte Sud;Actif;Avenue du 8 Mai 1945;Centre Commercial « Poitiers Porte Sud »;86000;Poitiers;46.5557014;0.30834409999999934;Societe;392327607 ;39232760700314 ;Prospect;;;;;;F153;Ouvert
Boulanger Domus - Rosny Sous Bois;Boulanger Domus - Rosny Sous Bois;Actif;16, rue de Lisbonne;Centre Cial Domus;93110;Rosny-Sous-Bois;48.88145263684562;2.471554756164551;Societe;392327607 ;39232760700405 ;Prospect;;;;;;F159;Ouvert
Boulanger Ivry Sur Seine;Boulanger Ivry Sur Seine;Actif;30 Bd Paul Vaillant Couturier;Centre Commercial « Quais d’Ivry »;94200;Ivry Sur Seine;48.81934672996592;2.3972749105896582;Societe;392327607 ;39232760700330 ;Prospect;;;;;;F160;Ouvert
Boulanger Eragny Sur Oise;Boulanger Eragny Sur Oise;Actif;1 Rue du Bas Noyer;Centre Commercial Art de Vivre;95610;Eragny Sur Oise;49.031731194431686;2.102597981753547;Societe;392327607 ;39232760700264 ;Prospect;;;;;;F162;Ouvert
Boulanger Villefranche Sur Saône;Boulanger Villefranche Sur Saône;Actif;1820 Route de Frans;;69400;Villefranche sur Saône;45.9828842;4.7442186000000675;Societe;347384570 ;34738457002025 ;Prospect;;;;;;F167;Ouvert
Boulanger Publier;Boulanger Publier;Actif;Rue du Cartheray;Zone commerciale du Publier (à côté de Cora);74500;Publier;46.38985725657187;6.5204264857055705;Societe;347384570 ;34738457002355 ;Prospect;;;;;;F168;Ouvert
Boulanger Montigny Les Cormeilles;Boulanger Montigny Les Cormeilles;Actif;Bd Victor Bordier face à Leroy Merlin;;95370;Montigny Les Cormeilles;48.99360593920157;2.197007489965813;Societe;347384570 ;34738457000540 ;Prospect;;;;;;F173;Ouvert
Boulanger Les Clayes-Sous-Bois;Boulanger Les Clayes-Sous-Bois;Actif;Centre Commercial Alpha Park Avenue Henri Barbusse;Magasin situé à côté d'IKEA - Parking Gratuit;78340;Les Clayes Sous Bois;48.82797165487739;1.9694784375732297;Societe;347384570 ;34738457001340 ;Prospect;;;;;;F175;Ouvert
Boulanger Melun - Cesson;Boulanger Melun - Cesson;Actif;RD 306 (Nationale 6) - Rue du Bois des Saint-Pères;Espace Maisonément Boissénart;77240;Cesson;48.5827137292234;2.6039621829986572;Societe;347384570 ;34738457001480 ;Prospect;;;;;;F176;Ouvert
