"societe";"ref";"date";"produit";"date2";"compte_absystech_before";"compte_absystech_after";"type";"quantite";"prix";"id_facture_ligne";"type_facture"
"AbsysTech";"AFLI19070098";02/07/2019;"Environnement Mono-Datacenter VM Web+BDD (1 vCPU / 2 Go Ram / 50 Go DD ultra haute vitesse + 1 IP supplémentaire) - Sauvegarde 7 jours - Infogérance avancée (installation réalisée dans le cadre du contrat de régie Boulanger)	 [prorata Boulanger]";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"37.00";46002;"facture_periodique"
"AbsysTech";"AFLI19070099";02/07/2019;"Serveur Cloud évolutif Classe Entreprise : 2 vPCU - RAM 8 Go - 50 Go d'espace de stockage haute performance dont 8 Go de SWAP - 300 Go d'espace de stockage normal - 5000 iops - SLA : 99,95%";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"112.31";46004;"facture_periodique"
"AFEJI";"AFLI19070100";02/07/2019;"maintenance mensuelle DK-Phone - engagement 3 ans";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"85.00";46006;"facture_periodique"
"AFEJI - Les Bazennes";"AFLI19070101";02/07/2019;"Maintenance mensuelle - Equipements Afeji Les Bazennes";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"37.00";46008;"facture_periodique"
"AFEJI SESSAD";"AFLI19070102";02/07/2019;"Maintenance mensuelle - Equipements AFEJI SESSAD";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"29.00";46010;"facture_periodique"
"ATOUTCOMS";"AFLI19070103";02/07/2019;"Contrat de maintenance - Installation téléphonique pour le client : ADMR - Tarif mensuel : 69¤ HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"69.00";46021;"facture_periodique"
"CARTONNAGES VAILLANT";"AFLI19070104";02/07/2019;"Maintenance mensuelle Easy2call 50";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"88.00";46023;"facture_periodique"
"COMMUNE DE BAVAY";"AFLI19070105";02/07/2019;"Maintenance mensuelle et extension de garantie du matériel - Engagement de 36 mois avec renouvellement par tacite reconduction";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"39.00";46026;"facture_periodique"
"COMMUNE DE BAVAY";"AFLI19070106";02/07/2019;"fourniture de la solution de téléphonie loyer HT sur 36 mois pour: 10 gigaset C530 IP,1 Mitel Aastra 6869I, 1 routeur Sonicwall TZ 300, 1 appliance Easy2call 50,  1 Switch 24 ports, 2 cordons S/FTPcat 6A,  prestations intégrations et intallations";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"142.00";46028;"facture_periodique"
"DECOCK DEVELOPPEMENT";"AFLI19070107";02/07/2019;"Contrat de maintenance mensuelle de la solution de téléphonie en l'état Engagement sur une durée de 12 mois reconductible chaque mois par tacite reconduction. Les équipements (et leurs configurations) concernés sont : 1 appliance Easy2call 50 (IPBX), 1 carte Digium B410P (4 T0),18 téléphones Aastra 6731i, 1 téléphone Aastra 6757i, 1 module d'extension Aastra M675i, 1 Cisco Small Business SPA122, 1 switch HP 2530-24-PoE+  1 borne DECT Gigaset N510 IP Pro, 1 casque Jabra Pro 920 Mono";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"58.00";46030;"facture_periodique"
"DUPONT RESTAURATION";"AFLI19070108";02/07/2019;"[ref 2019-3101] Controller Unifi - Interface web centralisée (outil de gestion) - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"5.00";46033;"facture_periodique"
"DUPONT RESTAURATION";"AFLI19070108";02/07/2019;"[ref 2019-3101] Maintenance mensuelle Easy2Call 50 - Avenant Dupont Restauration Bailleul";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"44.00";46034;"facture_periodique"
"Eliott & Markus";"AFLI19070109";02/07/2019;"Contrat de maintenance mensuelle de la solution de téléphonie en l'état [nl]Engagement sur une durée de 12 mois reconductible ensuite chaque mois par tacite reconduction. [nl]Les équipements (et leurs configurations) concernés sont : [nl] - 1 IPBX évolutif AbsysTech Telecom (sous Asterisk) [nl] - 19 postes Aastra 6731i [nl] - 2 DECT Gigaset C610 IP et leur base [nl] - 5 postes Aastra 6753i [nl] - 1 poste Aastra 6757i [nl] - 1 poste Aastra 6737i [nl] - 1 module d'extension Aastra M675i [nl]N'est pas inclus d";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"62.00";46037;"facture_periodique"
"Eliott & Markus";"AFLI19070109";02/07/2019;"Remise systématique de 3,00 ¤ HT/mois durant toute la durée du contrat de maintenance";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"-3.00";46038;"facture_periodique"
"ENTREPRISE LIONET";"AFLI19070110";02/07/2019;"Maintenance mensuelle Easy2Call 50";02/07/2019;"PRESTATIONS / SUPPORT";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"38.00";46040;"facture_periodique"
"ENVELNOR KUVERT";"AFLI19070111";02/07/2019;"Maintenance mensuelle de la solution de téléphonie - engagement sur 36 mois renouvelable";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"78.00";46042;"facture_periodique"
"GIE Domartois";"AFLI19070112";02/07/2019;"Maintenance mensuelle et extension de garantie des équipements de la solution de téléphonie - engagement sur 36 mois renouvelable (10% de remise incluse)";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"45.00";46044;"facture_periodique"
"IRM METROPOLE SUD";"AFLI19070113";02/07/2019;"Maintenance mensuelle - Engagement sur 3 ans";02/07/2019;"PRESTATIONS - ABO RENOUV";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"32.00";49454;"facture_periodique"
"Lestienne Immobilier";"AFLI19070114";02/07/2019;"Abonnement mensuel accès IPBX hébergé - par site";02/07/2019;"PRESTATIONS - ABO TACITE";"VENTES D'ABONNEMENT";"service";"10.00";"5.00";46049;"facture_periodique"
"Lestienne Immobilier";"AFLI19070114";02/07/2019;"[Agence JLW] contrat de maintenance";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"37.00";46050;"facture_periodique"
"SCM LA VICTOIRE";"AFLI19070115";02/07/2019;"Maintenance mensuelle Easy2Call 50";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"19.00";46052;"facture_periodique"
"SCM RHUMATO SAINT MAUR";"AFLI19070116";02/07/2019;"Controller Unifi - Interface web centralisée (outil de gestion) - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"7.00";46055;"facture_periodique"
"SCM RHUMATO SAINT MAUR";"AFLI19070116";02/07/2019;"Maintenance mensuelle Easy2Call 50";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"20.00";46056;"facture_periodique"
"SOCIÉTÉ DE RÉNOVATION ET DE RESTAURATION DE LILLE";"AFLI19070117";02/07/2019;"Forfait 4G Data Only 100 Go - Engagement 36 mois - Débit réduit au-delà de 100 Go";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"VENTES D'ABONNEMENT";"marchandise";"1.00";"95.00";46058;"facture_periodique"
"SOCIÉTÉ DE RÉNOVATION ET DE RESTAURATION DE LILLE";"AFLI19070118";02/07/2019;"Mise à disposition de la solution de téléphonie et maintenance - engagement 12 mois";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"LOCATION";"marchandise";"1.00";"342.00";46060;"facture_periodique"
"TRANSPORTS MAHIEUX";"AFLI19070119";02/07/2019;"Maintenance mensuelle Easy2Call LT";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"17.00";46067;"facture_periodique"
"Travail Partage 62";"AFLI19070120";02/07/2019;"SonicWALL TZ300 : S/N: 18B169728DC0- Pare-feu de sécurité réseau et Support 8X5 - Contrat de maintenance prolongé - remplacement du routeur TZ300 en cas de défaillance technique en J+1 - Support technique : support téléphonique et assistance web - Disponibilité :8 heures par jour / lundi à vendredi / 5 jours par semaine - 3 années [nl]Mises à jour et mises à niveau firmware pour préserver la sécurité de votre réseau";02/07/2019;"VENTES DE MARCHANDISES";"LOCATION";"marchandise";"1.00";"58.23";46069;"facture_periodique"
"URBADS";"AFLI19070121";02/07/2019;"Maintenance mensuelle et extension de garantie de la solution de téléphonie - Engagement sur 58 mois renouvelable selon les conditions du contrat";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"47.00";46071;"facture_periodique"
"Urbycom";"AFLI19070122";02/07/2019;"Maintenance mensuelle (IPBX inclus) et extension de garantie de la solution de téléphonie - engagement sur 60 mois renouvelable selon les conditions du contrat";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"42.00";46075;"facture_periodique"
"Urbycom";"AFLI19070122";02/07/2019;"Monitoring du VPN et contrôle de la politique de sécurité du réseau télécom + Push des mises à jour firmware des routeurs UniFi";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"20.00";46076;"facture_periodique"
"Urbycom";"AFLI19070122";02/07/2019;"Maintenance mensuelle et extension de garantie du matériel -[ADLI18110036] + [ADLI19050003]";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"5.00";46077;"facture_periodique"
"YVELINES RESTAURATION";"AFLI19070123";02/07/2019;"Maintenance mensuelle Easy2Call 50";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"1.00";"69.00";46080;"facture_periodique"
"YVELINES RESTAURATION";"AFLI19070123";02/07/2019;"Controller Unifi - Interface web centralisée (outil de gestion) - Gestion des mots de passe - Gestion des accès utilisateurs - Multiples SSID - Mise à jour des firmwares des bornes à distance - Hébergement sur le Cloud privé d'AbsysTech - Administration par AbsysTech";02/07/2019;"VENTES MARCHANDISES - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"marchandise";"1.00";"5.00";46081;"facture_periodique"
"ACE - SOFEC";"AFLI19070124";02/07/2019;"Contrat de maintenance, tarif mensuel : 64 euros HT";02/07/2019;"PRESTATIONS - ABO TACITE";"MAINTENANCE / PRESTATIONS RECURRENTES";"service";"3.00";"64.00";46083;"facture_periodique"
